web-scraper-order,web-scraper-start-url,rooms_area_Price-raw,adress_raw,price_raw,description_raw,text_raw
"1726581135-1","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn5","3.5 Zimmer, 90m², CHF 2’450.– Premium","Schönholzweg 45, 8409 Winterthur","CHF 2’450.–","Mehrgenerationswohnen mit Siedlungsassistenz, Fitnessstudio und vielem mehr","3.5 Zimmer, 90m², CHF 2’450.– PremiumSchönholzweg 45, 8409 WinterthurMehrgenerationswohnen mit Siedlungsassistenz, Fitnessstudio und vielem mehr Wohnüberbauung DOMUM Winterthur | Mehrgenerationswohnen mit Siedlungscoach, Fitnessstudio und vielem mehrAm Schönholzweg 28/41/43/45 in 8409 Winterthur befindet sich eine DOMUM-Mehrgenerationenüberbauung mit total 50 attraktiven 1.5-, 2.5-, 3.5- und 4.5-Zimmer-Mietwohnungen. Die Überbauung ist mit dem öffentlichen Verkehr sehr gut erschlossen. Zu Fuss oder mit dem Bus sind die nächsten Einkaufsmöglichkeiten innert wenigen Minuten erreichbar.Die Wohnbaugenossenschaft DOMUM bietet ein Zuhause für Senioren, Familien, Paare und Singles. Ein lebendiges Miteinander mit einem starken Wir-Gefühl und Offenheit für eine gute Nachbarschaft sind das Ziel. Gemeinschaftsräume ergänzen die eigene Wohnung - eine perfekte Mischung aus Individualität und Gemeinschaft. Der bauliche Komfort, kombiniert mit einem Siedlungscoach, ermöglicht zudem einen langen Verbleib im eigenen Zuhause, auch im zunehmenden Alter.Ab dem 01.11.2024 oder nach Vereinbarung kann in dieser Siedlung eine 3.5-Zimmer-Wohnung gemietet werden, welche sich im 2. Obergeschoss befindet.Als Mieterschaft profitieren Sie zusammengefasst von folgenden Annehmlichkeiten: • Moderne Architektur • Gehobener Ausbaustandard • Kellerabteil mit eigenem Waschturm • Siedlungsassistenz (Ansprechperson vor Ort für Fragen und Anliegen) • Fitnessraum mit diversen Sportgeräten • Gemeinschaftsräume für Unternehmungen und Veranstaltungen • Pauschale Heiz- und Nebenkosten • Alle Wohnbereiche sind dank der Liftanlage rollstuhlgängig In der Tiefgarage stehen Autoeinstellplätze (CHF 150.00/Monat) und Motoradeinstellplätze (CHF 50.00/Monat) zur Verfügung. Es sind auch Autoeinstellplätze vorhanden, welche für E-Mobility geeignet sind.Für Fragen oder die Vereinbarung eines Besichtigungstermins stehen wir gerne zur Verfügung und freuen uns auf die Kontaktaufnahme.Weitere Informationen über DOMUM sind auf der Webseite www.domum-wbg.ch ersichtlich."
"1726581135-2","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn5","3.5 Zimmer, 90m², CHF 3’145.– Premium","Weinbergstrasse 21, 8400 Winterthur","CHF 3’145.–","Loft am Weinberg","3.5 Zimmer, 90m², CHF 3’145.– PremiumWeinbergstrasse 21, 8400 WinterthurLoft am Weinberg Zur Vermietung steht eine hochmoderne Loftwohnung in Winterthur, gelegen an der Weinbergstrasse. Diese Wohnung bietet einen südlich ausgerichteten Gartensitzplatz, der direkt vom Wohnzimmer aus zugänglich ist und sich ideal für Entspannung eignet. Zusätzlich gibt es einen Balkon, der einen beeindruckenden Ausblick über Veltheim und die Altstadt bietet. Der gegenüberliegende Weinberg des Gallispitz ist sowohl von der Küche, als auch vom Badezimmer aus zu sehen.Ein Tiefgaragenstellplatz kann optional für CHF 160.- pro Monat angemietet werden. Es handelt sich um eine Nichtraucherwohnung. Katzen sind willkommen.Die Wohnung kann virtuell unter folgendem Link besichtigt werden: https://my.matterport.com/show/?m=J77HKH8NggqDie Wohnung bietet zahlreiche Vorteile, darunter: • herrliche Lage • ein einzigartiger Grundriss • Öffentliche Verkehrsmittel: und Geschäfte in Gehdistanz • qualitativ hochwertige und moderne Geräte • und vieles mehr... Besichtigungstermine(nur mit Voranmeldung)Freitag 20.09 späteren Nachmittag/Abend"
"1726581135-3","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn5","3.5 Zimmer, 88m², CHF 2’016.– Top","Emil Klöti-Str. 2, 8406 Winterthur","CHF 2’016.–","Wohnen in lebendigem Stadtquartier","3.5 Zimmer, 88m², CHF 2’016.– TopEmil Klöti-Str. 2, 8406 WinterthurWohnen in lebendigem Stadtquartier Günstige Verkehrslage, attraktiver Grundriss, modere Ausstattung und viel Luft: Diese Vorzüge machen diese Wohnung zu einem besonders begehrten Ort zum Leben und Sein. Die gepflegte Wohnsiedlung befindet sich an zentraler Lage im Quartier Töss. In wenigen Minuten erreichen Sie die Bushaltestelle sowie die Zufahrt zur A1. Einkaufen können Sie im nahegelegenen Einkaufszentrum.Für Ihre Wohnqualität: - Moderne Wohnküche mit Granitabdeckung und Geschirrspüler - Küche und Nasszelle mit Plattenböden - Grosszügiges Reduit neben der Küche - Wohnräume mit Parkettboden - Schlafzimmer mit Abstellkammer - Einbauschrank im Korridor - Elektrische Storen mit Fernbedienung - Waschmaschine und Tumbler in der Wohnung - Kellerabteil befindet sich direkt neben der WohnungInteressiert? Dann lohnt sich eine Besichtigung."
"1726581135-4","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn5","2.5 Zimmer, 49m², CHF 1’990.– Top","St. Gallerstrasse 82, 8400 Winterthur","CHF 1’990.–","Erstbezug nach Totalsanierung - Ihre neue Traumwohnung","2.5 Zimmer, 49m², CHF 1’990.– TopSt. Gallerstrasse 82, 8400 WinterthurErstbezug nach Totalsanierung - Ihre neue Traumwohnung An zentraler Lage an der St. Gallerstr. 82/84 vermieten wir per Januar 2025 attraktive 2.5- und 3.5-Zimmer-Wohnungen, die nach einer vollumfänglichen Totalsanierung in neuem Glanz erstrahlen.Die modernen Wohnungen überzeugen mit folgenden Pluspunkten:- Grosszügiger Wohn-/Essbereich - Gut möblierbare und einzigartige Grundrisse- Hochwertige und elegante Küchen - Lichtdurchflutete und pflegeleichte Bäder - Eingangsbereich mit Einbauschränken- Waschmaschine/Tumbler in der Wohnung- Fussbodenheizung- Gemütliche Balkone oder Sitzplätze zum Verweilen und Geniessen- Zentrale und doch ruhig gelegene Lage unweit vom Stadtzentrum- Zahlreiche Einkaufs- und Verpflegungsmöglichkeiten in unmittelbarer GehdistanzInformieren Sie sich auf der Projektwebseite über das gesamte Wohnungsangebot und finden Sie heute noch Ihre neue Traumwohnung. Bei Fragen oder für ergänzende Auskünfte stehen wir Ihnen gerne zur Verfügung. Wir freuen uns auf Ihre Kontaktaufnahme."
"1726581135-5","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn5","3.5 Zimmer, 89m², CHF 2’390.– Top","Burgstrasse 17, 8408 Winterthur","CHF 2’390.–","Exklusives Wohnen auf höchstem Niveau - MIETEN OHNE KAUTION","3.5 Zimmer, 89m², CHF 2’390.– TopBurgstrasse 17, 8408 WinterthurExklusives Wohnen auf höchstem Niveau - MIETEN OHNE KAUTION Diese hochwertige Wohnung überzeugt mit grosszügigen, lichtdurchfluteten Räumen und einer modernen Ausstattung. Die ruhige Lage in einer begehrten Wohngegend bietet ein komfortables Wohngefühl.- Neuwertige Küche in schlichter Eleganz- Alle Zimmer Eichenparkett- Bad/Dusche/WC- Grosszügige Loggia- Gut durchdater Grundriss- Nahe an der Töss- Bushaltestelle in unmittelbarer Nähe- Diverse Einkaufsmöglichkeiten vor Ort- Einstellplatz ab CHF 160.00 im Mt. verfügbarDie Bilder zeigen den Standard der Liegenschaft und entsprechen nicht immer der angegebenen Wohnung.Interessiert? Bewerben Sie sich jetz!"
"1726581135-6","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn5","3 Zimmer, 64m², CHF 1’500.– Top","Ruhtalstr. 12, 8400 Winterthur","CHF 1’500.–","Mitten im Zentrum!","3 Zimmer, 64m², CHF 1’500.– TopRuhtalstr. 12, 8400 WinterthurMitten im Zentrum! Wir vermieten per 01.11.2024 eine zentrale 3 Zimmer-Wohnung mit folgenden Vorzügen:- Gepflegte Liegenschaft- Bodenbelag: Parkett - Heller Wohn-/Essbereich- Geschlossene Küche mit Glasheramikherd und Geschirrspüler- Bad/WC- Balkon- Praktischer Wandschrank- Estrich- und Kellerabteil- Sehr zentrale Lage, nähe Bahnhof / Banana City(Die Bilder zeigen den Standard der Liegenschaft und entsprechen nicht immer der angebotenen Wohnung.)"
"1726581135-7","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn5","2.5 Zimmer, 66m², CHF 1’930.– Top","Seuzacherstr. 9a, 8400 Winterthur","CHF 1’930.–","Zentrum Rosenberg: Moderne Wohnung mit eigenem Concierge","2.5 Zimmer, 66m², CHF 1’930.– TopSeuzacherstr. 9a, 8400 WinterthurZentrum Rosenberg: Moderne Wohnung mit eigenem Concierge Hier erwartet Sie eine modernen Wohnung in zentraler Lage mit komfortabler Ausstattung. Das Einkaufszentrum im Haus und die Bushaltestelle vor dem Haus bieten zusätzlichen Komfort und sparen Zeit.- Moderne Wohnung an zentraler Lage- Gesamte Wohnung mit Parkett- Offene Küche mit Glaskeramikherd, Geschirrspüler und Backofen- Badezimmer mit Badewanne- Waschmaschine und Trockner in der Wohnung- Grosszügiger Balkon (Loggia)- Reduit- Kellerabteil- Lift- Minergiewohnüberbauung mit kontrollierter Lüftung- Migros direkt in der Liegenschaft (Einkaufszentrum Rosenberg)- Sehr nahe gelegene Busstation - Einstellplatz für CHF 140.- pro Monat Interessiert? Bewerben Sie sich jetz!Homepage: http://www.james-winterthur.ch"
"1726581135-8","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn5","5 Zimmer, 128m², CHF 2’770.– Top","Bollstr. 7, 8405 Winterthur","CHF 2’770.–","Ruhige und zentrale Lage in Seen - MIETEN OHNE KAUTION","5 Zimmer, 128m², CHF 2’770.– TopBollstr. 7, 8405 WinterthurRuhige und zentrale Lage in Seen - MIETEN OHNE KAUTION Unsere grosszügige und schöne Wohnung im Herzen von Winterthur sucht neue Bewohner!- Küche mit Glaskeramikkochfeld und Geschirrspüler- Kühlgefrierkombination- Wohnzimmer mit Parkett - Alle Zimmer mit Marmoleum- Bad/WC mit Doppellavabo- Dusche/WC mit Waschturm- 3 BalkoneÖffentliche Verkehrsmittel, das Einkaufszentrum und Schulen befinden sich in der Nähe.Ein Einstellplatz kann für CHF 120.00 in der Nachbarliegenschaft gemietet werden.Die Bilder zeigen den Standard der Liegenschaft und entsprechen nicht immer der angebotenen Wohnung."
"1726581135-9","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn5","3 Zimmer, 68m², CHF 1’755.– Top","Guggenbühlstrasse 60, 8404 Winterthur","CHF 1’755.–","Gemütliche Wohnung an zentraler Lage zu vermieten!","3 Zimmer, 68m², CHF 1’755.– TopGuggenbühlstrasse 60, 8404 WinterthurGemütliche Wohnung an zentraler Lage zu vermieten! Diese Wohnung ist ruhig und unweit von Freibad, diversen Einkaufsmöglichkeiten und öffentlichem Verkehrsanschluss in Oberwinterthur gelegen. Ausserdem überzeugt die Wohnung mit folgender Ausstattung: - Küche: Angenehme Grösse, gepflegt, einaldend und hell - Korridor: Mit parktischer Garderobe und Einbauschrank - Badezimmer: Badewanne, Unterbaumöbel (ohne Fenster) - Wohnzimmer: Mit Eichenparkettboden und angrenzendem Balkon - Schlafzimmer: Mit Eichenparkettboden und Fenster ausgestattet - Plattenbodenbeläge: in übrigen Räume: Küche, Korridor und Bad - Weiterer Stauraum: Mit eigenem Keller- sowie Estrichabteil"
"1726581135-10","https://www.immoscout24.ch/de/immobilien/mieten/ort-winterthur?pn5","2.5 Zimmer, 62m², CHF 2’260.– Top","St. Gallerstrasse 84, 8400 Winterthur","CHF 2’260.–","Erstbezug nach Totalsanierung - Ihre neue Traumwohnung","2.5 Zimmer, 62m², CHF 2’260.– TopSt. Gallerstrasse 84, 8400 WinterthurErstbezug nach Totalsanierung - Ihre neue Traumwohnung An zentraler Lage an der St. Gallerstr. 82/84 vermieten wir per Januar 2025 attraktive 2.5- und 3.5-Zimmer-Wohnungen, die nach einer vollumfänglichen Totalsanierung in neuem Glanz erstrahlen.Die modernen Wohnungen überzeugen mit folgenden Pluspunkten:- Grosszügiger Wohn-/Essbereich - Gut möblierbare und einzigartige Grundrisse- Hochwertige und elegante Küchen - Lichtdurchflutete und pflegeleichte Bäder - Eingangsbereich mit Einbauschränken- Waschmaschine/Tumbler in der Wohnung- Fussbodenheizung- Gemütliche Balkone oder Sitzplätze zum Verweilen und Geniessen- Zentrale und doch ruhig gelegene Lage unweit vom Stadtzentrum- Zahlreiche Einkaufs- und Verpflegungsmöglichkeiten in unmittelbarer GehdistanzInformieren Sie sich auf der Projektwebseite über das gesamte Wohnungsangebot und finden Sie heute noch Ihre neue Traumwohnung. Bei Fragen oder für ergänzende Auskünfte stehen wir Ihnen gerne zur Verfügung. Wir freuen uns auf Ihre Kontaktaufnahme."
